Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
NoMTD,0.1,100,25,0.0,0.5791071428571428,577.0311038902589
NoMTD,0.2,100,25,0.0,0.6089971139971143,1092.9791718088902
NoMTD,0.3,100,25,0.0,0.7013205544455546,1423.7160758795842
NoMTD,0.4,100,25,0.0,0.7106785126638065,1850.8922626308658
NoMTD,0.5,100,25,0.0,0.7671621313842671,2131.54029950389
NoMTD,0.6,100,25,0.0,0.7695754342406815,2555.776749698586
NoMTD,0.7,100,25,0.0,0.8093488402329936,2846.0755935887837
NoMTD,0.8,100,25,0.0,0.8071586802891144,3155.3483114643564
NoMTD,0.1,100,50,0.0,0.5733207070707074,1268.413200493766
NoMTD,0.2,100,50,0.0,0.7070335057099758,1816.2892133506455
NoMTD,0.3,100,50,0.0,0.735866078620083,2303.2079077497383
NoMTD,0.4,100,50,0.0,0.7725368235375001,2626.3025883639666
NoMTD,0.5,100,50,0.0,0.7986925282787319,2898.2026958914767
NoMTD,0.6,100,50,0.0,0.8190354346705311,3177.5086266340727
NoMTD,0.7,100,50,0.0,0.8214120255616717,3529.8321361134153
NoMTD,0.8,100,50,0.0,0.810506476682493,4383.504434194058
NoMTD,0.1,100,75,0.0,0.5558748114630468,1708.0504862921784
NoMTD,0.2,100,75,0.0,0.6517045152914713,2520.456090403932
NoMTD,0.3,100,75,0.0,0.7387948827839864,3098.87440540401
NoMTD,0.4,100,75,0.0,0.774974638777591,3667.0926497316373
NoMTD,0.5,100,75,0.0,0.8162012017718525,4095.8659153481312
NoMTD,0.6,100,75,0.0,0.8315468871754992,4519.178691805905
NoMTD,0.7,100,75,0.0,0.8554405955882554,4862.8485042670145
NoMTD,0.8,100,75,0.0,0.8568285490662083,5227.8987154695005
NoMTD,0.1,100,100,0.0,0.6399115813666892,2107.16774828008
NoMTD,0.2,100,100,0.0,0.7710920382299692,2935.7717223573227
NoMTD,0.3,100,100,0.0,0.829989364385649,3676.1140041251874
NoMTD,0.4,100,100,0.0,0.8628472415064189,4323.1726288403315
NoMTD,0.5,100,100,0.0,0.8830269080330592,4873.636796223134
NoMTD,0.6,100,100,0.0,0.892924499315116,5424.98717118706
NoMTD,0.7,100,100,0.0,0.8978703967202929,5980.716519048228
NoMTD,0.8,100,100,0.0,0.9048452364085775,6505.038165937232
NoMTD,0.1,200,25,0.0,0.5819047619047618,593.2001676865501
NoMTD,0.2,200,25,0.0,0.6116612554112557,1056.3441468301032
NoMTD,0.3,200,25,0.0,0.7032629870129877,1391.2514355661788
NoMTD,0.4,200,25,0.0,0.7083569187090856,1829.0148334628354
NoMTD,0.5,200,25,0.0,0.7681373966590685,2103.1097770177307
NoMTD,0.6,200,25,0.0,0.7712123739656046,2535.2954033082233
NoMTD,0.7,200,25,0.0,0.8125234418200669,2845.9210193100357
NoMTD,0.8,200,25,0.0,0.8108124084256013,3155.8010255936097
NoMTD,0.1,200,50,0.0,0.5632983682983685,1266.8199201001305
NoMTD,0.2,200,50,0.0,0.702007918552036,1794.9190587387127
NoMTD,0.3,200,50,0.0,0.732496025141906,2283.7717643752603
NoMTD,0.4,200,50,0.0,0.7728948178880348,2606.2126630370226
NoMTD,0.5,200,50,0.0,0.802501632063121,2897.4355271592194
NoMTD,0.6,200,50,0.0,0.8227443259457057,3177.5303496466495
NoMTD,0.7,200,50,0.0,0.8343656296582991,3494.962582137888
NoMTD,0.8,200,50,0.0,0.827850932862368,4090.25943125997
NoMTD,0.1,200,75,0.0,0.558182369101487,1697.5270161691506
NoMTD,0.2,200,75,0.0,0.6572627529475357,2515.9214075607374
NoMTD,0.3,200,75,0.0,0.744591338728585,3080.24374354629
NoMTD,0.4,200,75,0.0,0.7801255039715198,3642.5121502037496
NoMTD,0.5,200,75,0.0,0.820857779882581,4059.5721610883797
NoMTD,0.6,200,75,0.0,0.8330845485587366,4492.782542312849
NoMTD,0.7,200,75,0.0,0.8568373918880766,4834.423168104905
NoMTD,0.8,200,75,0.0,0.8594608494361564,5194.8563136315215
NoMTD,0.1,200,100,0.0,0.6526417901843595,2069.2901737881148
NoMTD,0.2,200,100,0.0,0.7775046103321962,2904.671583542615
NoMTD,0.3,200,100,0.0,0.8356789874282131,3649.48820041808
NoMTD,0.4,200,100,0.0,0.8693983551212295,4316.318763565826
NoMTD,0.5,200,100,0.0,0.8887986645117535,4890.836269581242
NoMTD,0.6,200,100,0.0,0.8963912911878127,5445.624381037222
NoMTD,0.7,200,100,0.0,0.9014530816613471,6009.257772026353
NoMTD,0.8,200,100,0.0,0.9061937816264283,6547.801979772945
CompleteTopologyShuffle,0.1,100,25,0.005044948017479468,0.32713564213564233,763.7317462013796
CompleteTopologyShuffle,0.2,100,25,0.005044948017479468,0.33950553918046167,1382.1882844038907
CompleteTopologyShuffle,0.3,100,25,0.005044948017479468,0.3797932044558985,1852.7813582338736
CompleteTopologyShuffle,0.4,100,25,0.005044948017479468,0.3613876073854078,2651.4234152330364
CompleteTopologyShuffle,0.5,100,25,0.005044948017479468,0.3897877685745696,3048.463859674063
CompleteTopologyShuffle,0.6,100,25,0.005044948017479468,0.3977442835874023,3480.8296450749026
CompleteTopologyShuffle,0.7,100,25,0.005044948017479468,0.4048440143334864,4108.048203773191
CompleteTopologyShuffle,0.8,100,25,0.005044948017479468,0.40681525113720435,4600.428280901511
CompleteTopologyShuffle,0.1,100,50,0.005008250002389454,0.2425644339031318,1528.944292931404
CompleteTopologyShuffle,0.2,100,50,0.005008250002389454,0.3161426700445957,2056.5507801851572
CompleteTopologyShuffle,0.3,100,50,0.005008250002389454,0.2397942832141948,4866.660570425375
