Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
DAP_OSDiversity_2,0.1,100,25,0.0067082061096701,0.2117710235241194,30.058495139558772
DAP_OSDiversity_2,0.2,100,25,0.0067082061096701,0.1915823245200089,1529.8275157640578
DAP_OSDiversity_2,0.3,100,25,0.0067082061096701,0.2133916673881414,2436.450860589621
DAP_OSDiversity_2,0.4,100,25,0.0067082061096701,0.2211104520905436,3320.047683968589
DAP_OSDiversity_2,0.5,100,25,0.0067082061096701,0.2477269098312158,3750.9354000521334
DAP_OSDiversity_2,0.6,100,25,0.0067082061096701,0.2584851350102251,4362.6608319054185
DAP_OSDiversity_2,0.7,100,25,0.0067082061096701,0.2811067808103057,4690.122866983346
DAP_OSDiversity_2,0.8,100,25,0.0067082061096701,0.2961717258183484,4995.856687965433
DAP_OSDiversity_2,0.1,100,50,0.0067014429390521,0.2590852153310976,468.7375686970097
DAP_OSDiversity_2,0.2,100,50,0.0067014429390521,0.3033424626577254,1563.2480368273104
DAP_OSDiversity_2,0.3,100,50,0.0067014429390521,0.3293911201032518,2505.081955720992
DAP_OSDiversity_2,0.4,100,50,0.0067014429390521,0.3548362723344778,3243.5672263635033
DAP_OSDiversity_2,0.5,100,50,0.0067014429390521,0.3792935403818835,3819.3582347479896
DAP_OSDiversity_2,0.6,100,50,0.0067014429390521,0.3983092880540813,4393.428703536629
DAP_OSDiversity_2,0.7,100,50,0.0067014429390521,0.4154983301031797,4881.843216003914
DAP_OSDiversity_2,0.8,100,50,0.0067014429390521,0.4275887735922914,5383.932690463789
DAP_OSDiversity_2,0.1,100,75,0.0066835151525072,0.2247006215077814,2158.669156082288
DAP_OSDiversity_2,0.2,100,75,0.0066835151525072,0.2743185859838335,3888.955748917143
DAP_OSDiversity_2,0.3,100,75,0.0066835151525072,0.3253377618451276,4749.959983360225
DAP_OSDiversity_2,0.4,100,75,0.0066835151525072,0.3542904707137463,5547.424842925379
DAP_OSDiversity_2,0.5,100,75,0.0066835151525072,0.380619239073033,6285.661077736701
DAP_OSDiversity_2,0.6,100,75,0.0066835151525072,0.3983125218998901,7024.880330348195
